profil_id,age,sexe,region,voie_bac,serie_bac,domaine_technique_bac,moyenne_generale,note_mathematiques,note_physique_chimie,note_svt,note_francais,note_malgache,note_anglais,note_histoire_geo,note_philosophie,note_economie,note_informatique,note_arts,note_eps,matieres_preferees,competences_declarees,centres_interet,activites_projets,preferences_professionnelles,environnement_travail_recherche,mention_recommandee,parcours_recommande,parcours_recommande_nom,profil_ambigu,parcours_alternatif_plausible
P00001,17,F,Fitovinany,Professionnel et technique,CCBTP,Génie civil / BTP,12.23,13.6,12.0,10.2,13.8,11.9,15.0,12.7,10.6,14.9,11.6,9.8,10.7,Anglais; Economie; Francais; Mathematiques,curiosité; persévérance; autonomie; gestion d'entreprise,Économie; Débat et droit; Bénévolat associatif,gère les comptes d'une association d'élèves,Analyste de marché; Gestionnaire administratif et financier,Bureau/Numérique,Droit et Techniques des Affaires,CAA,Commerce et Administration des Affaires,True,EMP
P00002,18,F,Ihorombe,Professionnel et technique,TMA,Industriel,13.28,15.4,10.2,11.4,15.7,13.0,13.8,11.2,14.3,15.9,10.4,14.5,13.5,Arts; Economie; Francais; Mathematiques,rigueur; analyse financière et gestion budgétaire; négociation et vente internationale; créativité; gestion d'entreprise,Gestion,a participé à un club de débat ou un simulacre de procès au lycée; gère les comptes d'une association d'élèves; a occupé un petit job ou une activité rémunérée pendant les vacances,Gestionnaire administratif et financier; Responsable commercial; avoir un poste à responsabilités,Contact clientèle/Relationnel,Droit et Techniques des Affaires,CAA,Commerce et Administration des Affaires,False,
P00003,17,F,Vatovavy,Professionnel et technique,TMA,Industriel,7.71,13.0,8.2,8.4,7.2,4.1,7.6,8.8,6.2,9.2,5.5,8.4,5.9,Arts; Economie; Histoire_Geo; Mathematiques; SVT,esprit d'analyse; gestion financière prévisionnelle; esprit d'équipe; pilotage et planification de projets; analyse économique et économétrie; rigueur,Gestion; Entrepreneuriat; Musique,gère les comptes d'une association d'élèves; pratique un sport en club depuis plusieurs années,Consultant en management; Analyste économique; avoir un poste à responsabilités,Bureau/Numérique,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,False,
P00004,20,M,Ihorombe,Professionnel et technique,DAMB,Industriel,11.78,12.0,9.3,13.0,13.0,10.7,11.4,12.9,10.7,12.2,13.6,11.7,10.8,Economie; Francais; Histoire_Geo; Informatique; SVT,aisance relationnelle; développement full-stack; rigueur,Technologie; Sport,a suivi un tutoriel en ligne de programmation et créé un petit site web personnel,Ingénieur en génie logiciel; Chef de projet informatique; contribuer au développement de Madagascar,Bureau/Numérique,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00005,18,F,Atsimo-Andrefana,Général,C,,10.82,9.7,8.7,14.4,12.0,11.4,9.2,13.4,10.5,10.8,8.9,8.4,12.4,EPS; Francais; Histoire_Geo; Malgache; SVT,zootechnie et pisciculture; créativité; autonomie; développement rural; esprit d'équipe,Agriculture; Bénévolat associatif,aide régulièrement dans l'exploitation agricole familiale; s'occupe d'un petit élevage ou d'un jardin potager,Expert en agri-business; contribuer au développement de Madagascar,Terrain/Extérieur,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00006,18,F,Melaky,Professionnel et technique,TMEL,Industriel,12.92,11.9,10.4,13.2,12.5,12.7,15.8,14.8,13.2,12.7,12.2,12.5,13.1,Anglais; Histoire_Geo; SVT,sens de l'observation; autonomie; curiosité; connaissance du patrimoine environnemental et culturel malgache; créativité,Hôtellerie; Langues étrangères,a effectué un stage d'observation dans un hôtel ou une agence de voyage; participe à des activités associatives ou de bénévolat,Chargé de valorisation touristique et environnementale,Contact clientèle/Relationnel,Tourisme,TEE,Tourisme et Environnement,False,
P00007,19,F,Androy,Professionnel et technique,TMA,Industriel,14.52,17.6,13.7,13.5,13.2,14.0,13.6,14.7,11.8,14.2,16.1,17.6,14.2,Arts; EPS; Histoire_Geo; Informatique,"sens de l'organisation; développement full-stack; administration de bases de données; créativité; aisance relationnelle; programmation multi-langages (Java, C#, PHP, JavaScript); persévérance",Programmation,a suivi un tutoriel en ligne de programmation et créé un petit site web personnel; pratique un sport en club depuis plusieurs années,Architecte logiciel; Consultant en systèmes d'information et IA,Mixte/Itinérant,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00008,18,F,Bongolava,Général,D,,9.0,11.6,7.0,6.5,8.4,8.5,8.8,10.1,10.1,11.4,7.6,11.3,6.7,Arts; Economie; Histoire_Geo; Mathematiques; Philosophie,calcul de structures (RDM); esprit d'analyse; géotechnique; persévérance,Urbanisme; Dessin et design,aime dessiner des plans de maisons ou des croquis d'aménagement; a occupé un petit job ou une activité rémunérée pendant les vacances,Urbaniste,Chantier/BTP,Génie Civil et Architecture,GCA,Génie Civil et Architecture,True,
P00009,19,F,Sava,Général,D,,11.08,16.8,10.3,10.6,10.8,11.5,12.9,7.3,9.9,14.4,8.9,12.8,6.8,Anglais; Economie; Mathematiques,machine learning et deep learning; créativité; analyse statistique et probabilités appliquées; sens de l'observation; persévérance; business intelligence,Programmation; Technologie,a monté et dépanné des ordinateurs pour son entourage; a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne,Analyste Big Data; Ingénieur Machine Learning,Bureau/Numérique,Informatique et Télécommunications,ISAIA,"Informatique, Statistique Appliquée et Intelligence Artificielle",False,
P00010,20,M,Vatovavy,Professionnel et technique,TAMB,Industriel,9.65,7.3,12.1,9.0,7.5,9.5,9.6,10.4,10.4,10.1,12.0,8.5,9.4,Histoire_Geo; Informatique; Physique_Chimie,persévérance; aisance relationnelle; exploitation minière et géologie; autonomie; analyses de laboratoire; génie des procédés chimiques; curiosité,Mécanique; Bénévolat associatif,aide régulièrement à l'entretien de véhicules en famille; a occupé un petit job ou une activité rémunérée pendant les vacances,Responsable HSE,Atelier/Industriel,Génie Industriel,ICMP,"Industries Chimiques, Minières et Pétrolières",False,
