source,relation,target
Parcours_Genie_Civil_et_Architecture,developpe,Competence_Dimensionnement_et_calcul_de_structures_RDM_Elements_finis
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Virologie_medicale
Etudiant_P00865,prefere,Matiere_Economie
Etudiant_P00697,prefere,Matiere_Economie
Etudiant_P00179,possede,Competence_autonomie
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Traitement_des_eaux
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Machine_Learning
Etudiant_P01233,aSerieBac,Prerequis_Baccalaureat_serie_C
Etudiant_P00865,prefere,Matiere_Francais
Etudiant_P01467,possede,Competence_rigueur
Etudiant_P00570,prefere,Matiere_Arts
Parcours_Electromecanique_et_Informatique_Industrielle,necessite,Prerequis_Baccalaureat_serie_C
Etudiant_P00697,aCentreInteret,Interet_Lecture
Etudiant_P00229,possede,Competence_perseverance
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,prepareA,Metier_Expert_en_transformation_digitale
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Gestion_financiere
Parcours_Industries_Agroalimentaires,necessite,Prerequis_Baccalaureat_serie_S
Etudiant_P01437,aCentreInteret,Interet_Technologie
Etudiant_P01555,aCentreInteret,Interet_Debat_et_droit
Parcours_Agriculture_et_Elevage,developpe,Competence_Gestion_et_pilotage_de_projets_de_developpement_rural_et_agrobusiness
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,prepareA,Metier_UX_UI_Designer
Etudiant_P00327,possede,Competence_perseverance
Etudiant_P01150,possede,Competence_perseverance
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Gestion_previsionnelle
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Physiologie_Vegetale
Etudiant_P00564,prefere,Matiere_Anglais
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Finance_publique
Etudiant_P01555,prefere,Matiere_Informatique
Parcours_Electromecanique_et_Informatique_Industrielle,enseigne,Matiere_Grafcet
Etudiant_P01437,estOrienteVers,Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Management
Etudiant_P01207,prefere,Matiere_Philosophie
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,enseigne,Matiere_Droit_foncier
Parcours_Agriculture_et_Elevage,necessite,Prerequis_Baccalaureat_serie_S
Etudiant_P00055,prefere,Matiere_EPS
Etudiant_P01150,possede,Competence_autonomie
Etudiant_P00286,possede,Competence_rigueur
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Genie_industriel_alimentaire
Competence_Traitement_du_signal_Automatique,estRequisePour,Metier_Ingenieur_en_Automatismes
Etudiant_P01207,prefere,Matiere_Arts
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,prepareA,Metier_Responsable_controle_qualite_et_affaires_reglementaires
Etudiant_P00452,aCentreInteret,Interet_Debat_et_droit
Etudiant_P00052,possede,Competence_autonomie
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Machine_Learning
Competence_Communication_digitale,estRequisePour,Metier_Chef_de_projet_communication_digitale
Etudiant_P01386,aCentreInteret,Interet_Dessin_et_design
Parcours_Electromecanique_et_Informatique_Industrielle,developpe,Competence_Gestion_de_la_production_et_supervision_de_processus_industriels
Etudiant_P00448,possede,Competence_rigueur
Parcours_Commerce_et_Administration_des_Affaires,necessite,Prerequis_Baccalaureat_serie_D
Etudiant_P00062,prefere,Matiere_Histoire_Geo
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Deep_Learning
Etudiant_P00229,aCentreInteret,Interet_Reseaux_sociaux
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,necessite,Prerequis_Baccalaureat_serie_Technique
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Gestion_de_Projet
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Java
Etudiant_P00866,possede,Competence_rigueur
Etudiant_P00286,aCentreInteret,Interet_Entrepreneuriat
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Programmation_Logique
Etudiant_P01386,possede,Competence_aisance_relationnelle
Etudiant_P01437,possede,Competence_esprit_d_analyse
